(None, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(-inf, [None, None, None, None])
(40.29804978829043, [21317.87109375, 21274.8046875, 21360.9375, 21231.73828125])
(119.77969528859654, [None, None, None, None])
(124.89607673735584, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(124.08939986626754, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(124.28680427927445, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(125.1087742009713, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(124.762301139421, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(123.94998269656026, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(124.07045749490521, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(124.0826189869371, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(124.11024192277469, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(123.3293997261973, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(122.80694003830222, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(122.62839573680267, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(122.58595317382097, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(122.52173922446121, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(122.11318776396737, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(121.22336847318103, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(120.88510977980863, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(120.90628916465963, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(121.08927878211013, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(121.00930084875493, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(120.3474123027205, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(119.61039549828155, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(119.51132055038782, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
(119.4308468309177, [215.33203125, 258.3984375, 21834.66796875, 21791.6015625])
